year,CURRENT_ENERGY_RATING,rate_count,year_counts,ratio
2006,B,51,51,100
2007,B,7,8,88
2007,F,1,8,12
2008,B,262,3037,9
2008,C,785,3037,26
2008,D,1115,3037,37
2008,E,687,3037,23
2008,F,148,3037,5
2008,G,39,3037,1
2008,INVALID!,1,3037,0
2009,A,1,11173,0
2009,B,994,11173,9
2009,C,3167,11173,28
2009,D,4276,11173,38
2009,E,2142,11173,19
2009,F,456,11173,4
2009,G,137,11173,1
2010,A,1,9670,0
2010,B,711,9670,7
2010,C,2964,9670,31
2010,D,3749,9670,39
2010,E,1747,9670,18
2010,F,393,9670,4
2010,G,105,9670,1
2011,A,1,8152,0
2011,B,892,8152,11
2011,C,2398,8152,29
2011,D,3287,8152,40
2011,E,1228,8152,15
2011,F,261,8152,3
2011,G,85,8152,1
2012,A,1,9860,0
2012,B,836,9860,8
2012,C,3548,9860,36
2012,D,4011,9860,41
2012,E,1205,9860,12
2012,F,204,9860,2
2012,G,55,9860,1
2013,A,1,9855,0
2013,B,404,9855,4
2013,C,3011,9855,31
2013,D,4560,9855,46
2013,E,1545,9855,16
2013,F,263,9855,3
2013,G,71,9855,1
2014,A,1,8941,0
2014,B,554,8941,6
2014,C,2373,8941,27
2014,D,4273,8941,48
2014,E,1437,8941,16
2014,F,255,8941,3
2014,G,48,8941,1
2015,A,13,7737,0
2015,B,960,7737,12
2015,C,1884,7737,24
2015,D,3265,7737,42
2015,E,1264,7737,16
2015,F,273,7737,4
2015,G,78,7737,1
2016,A,18,7090,0
2016,B,752,7090,11
2016,C,2110,7090,30
2016,D,3031,7090,43
2016,E,920,7090,13
2016,F,178,7090,3
2016,G,81,7090,1
2017,A,2,6106,0
2017,B,870,6106,14
2017,C,1510,6106,25
2017,D,2708,6106,44
2017,E,828,6106,14
2017,F,131,6106,2
2017,G,57,6106,1
2018,A,10,6441,0
2018,B,562,6441,9
2018,C,1786,6441,28
2018,D,3031,6441,47
2018,E,926,6441,14
2018,F,94,6441,1
2018,G,32,6441,0
2019,A,2,7320,0
2019,B,586,7320,8
2019,C,2306,7320,32
2019,D,3425,7320,47
2019,E,914,7320,12
2019,F,59,7320,1
2019,G,28,7320,0
2020,B,801,7410,11
2020,C,2443,7410,33
2020,D,3195,7410,43
2020,E,916,7410,12
2020,F,29,7410,0
2020,G,26,7410,0
2021,A,15,8496,0
2021,B,1856,8496,22
2021,C,2800,8496,33
2021,D,3096,8496,36
2021,E,660,8496,8
2021,F,47,8496,1
2021,G,22,8496,0
2022,A,4,8531,0
2022,B,1306,8531,15
2022,C,3447,8531,40
2022,D,3112,8531,36
2022,E,574,8531,7
2022,F,63,8531,1
2022,G,25,8531,0
2023,A,11,7855,0
2023,B,1585,7855,20
2023,C,3343,7855,43
2023,D,2472,7855,31
2023,E,376,7855,5
2023,F,54,7855,1
2023,G,14,7855,0
2024,A,15,3676,0
2024,B,486,3676,13
2024,C,1726,3676,47
2024,D,1243,3676,34
2024,E,181,3676,5
2024,F,18,3676,0
2024,G,7,3676,0
