year,POTENTIAL_ENERGY_RATING,rate_count,year_counts,ratio
2006,B,51,51,100
2007,B,7,8,88
2007,D,1,8,12
2008,B,482,3037,16
2008,C,1294,3037,43
2008,D,968,3037,32
2008,E,222,3037,7
2008,F,52,3037,2
2008,G,19,3037,1
2009,A,1,11173,0
2009,B,1899,11173,17
2009,C,4901,11173,44
2009,D,3461,11173,31
2009,E,715,11173,6
2009,F,139,11173,1
2009,G,57,11173,1
2010,A,1,9670,0
2010,B,1491,9670,15
2010,C,4388,9670,45
2010,D,2982,9670,31
2010,E,636,9670,7
2010,F,122,9670,1
2010,G,50,9670,1
2011,A,1,8152,0
2011,B,1277,8152,16
2011,C,3328,8152,41
2011,D,2912,8152,36
2011,E,477,8152,6
2011,F,112,8152,1
2011,G,45,8152,1
2012,A,44,9860,0
2012,B,3423,9860,35
2012,C,4901,9860,50
2012,D,1303,9860,13
2012,E,163,9860,2
2012,F,15,9860,0
2012,G,11,9860,0
2013,A,44,9855,0
2013,B,3545,9855,36
2013,C,5551,9855,56
2013,D,685,9855,7
2013,E,24,9855,0
2013,F,4,9855,0
2013,G,2,9855,0
2014,A,63,8941,1
2014,B,3528,8941,39
2014,C,4675,8941,52
2014,D,636,8941,7
2014,E,35,8941,0
2014,F,3,8941,0
2014,G,1,8941,0
2015,A,95,7737,1
2015,B,2835,7737,37
2015,C,3967,7737,51
2015,D,746,7737,10
2015,E,78,7737,1
2015,F,14,7737,0
2015,G,2,7737,0
2016,A,41,7090,1
2016,B,2536,7090,36
2016,C,3810,7090,54
2016,D,657,7090,9
2016,E,41,7090,1
2016,F,3,7090,0
2016,G,2,7090,0
2017,A,12,6106,0
2017,B,2361,6106,39
2017,C,3209,6106,53
2017,D,489,6106,8
2017,E,31,6106,1
2017,F,3,6106,0
2017,G,1,6106,0
2018,A,42,6441,1
2018,B,2002,6441,31
2018,C,3551,6441,55
2018,D,717,6441,11
2018,E,122,6441,2
2018,F,7,6441,0
2019,A,39,7320,1
2019,B,2123,7320,29
2019,C,4438,7320,61
2019,D,688,7320,9
2019,E,30,7320,0
2019,F,2,7320,0
2020,A,49,7410,1
2020,B,2459,7410,33
2020,C,4409,7410,60
2020,D,481,7410,6
2020,E,11,7410,0
2020,G,1,7410,0
2021,A,56,8496,1
2021,B,3793,8496,45
2021,C,4128,8496,49
2021,D,501,8496,6
2021,E,17,8496,0
2021,G,1,8496,0
2022,A,91,8531,1
2022,B,3302,8531,39
2022,C,4577,8531,54
2022,D,524,8531,6
2022,E,35,8531,0
2022,F,2,8531,0
2023,A,65,7855,1
2023,B,3438,7855,44
2023,C,4006,7855,51
2023,D,336,7855,4
2023,E,10,7855,0
2024,A,29,3676,1
2024,B,1481,3676,40
2024,C,2014,3676,55
2024,D,140,3676,4
2024,E,12,3676,0
